日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20201130,7321,関西みらいフィナンシャルグループ,市場第一部（内国株）,7050,銀行業,15,銀行 ,6,TOPIX Small 1
20201130,7322,三十三フィナンシャルグループ,市場第一部（内国株）,7050,銀行業,15,銀行 ,7,TOPIX Small 2
20201130,7325,アイリックコーポレーション,マザーズ（内国株）,7150,保険業,16,金融（除く銀行） ,-,-
20201130,7326,ＳＢＩインシュアランスグループ,マザーズ（内国株）,7150,保険業,16,金融（除く銀行） ,-,-
20201130,7327,第四北越フィナンシャルグループ,市場第一部（内国株）,7050,銀行業,15,銀行 ,6,TOPIX Small 1
20201130,7337,ひろぎんホールディングス,市場第一部（内国株）,7050,銀行業,15,銀行 ,4,TOPIX Mid400
20201130,7338,インヴァスト,JASDAQ(スタンダード・内国株）,7100,証券、商品先物取引業,16,金融（除く銀行） ,-,-
20201130,7339,アイペットホールディングス,マザーズ（内国株）,7150,保険業,16,金融（除く銀行） ,-,-
20201130,7351,グッドパッチ,マザーズ（内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20201130,7352,Ｂｒａｎｄｉｎｇ　Ｅｎｇｉｎｅｅｒ,マザーズ（内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20201130,7353,ＫＩＹＯラーニング,マザーズ（内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20201130,7354,ダイレクトマーケティングミックス,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7355,一寸房,PRO Market,9050,サービス業,10,情報通信・サービスその他 ,-,-
20201130,7356,Ｒｅｔｔｙ,マザーズ（内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
